Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
3,147,114,0,14,128,146,23,18,57,61,25,49,68,98,79,64.375
25,98,22,1,49,74,116,49,125,78,147,70,93,10,49,62,66.75
18,155,157,249,0,20,110,110,58,65,33,230,0,228,182,49,104
120,17,189,48,93,181,86,99,119,30,147,252,21,202,145,17,110.375
86,75,19,50,117,38,133,0,0,59,101,87,120,214,57,65,76.3125
152,234,289,59,49,64,109,0,65,16,49,14,19,140,127,76,91.375
49,313,92,133,415,71,63,169,13,35,147,49,60,397,102,86,137.125
30,164,184,88,325,74,123,104,0,0,14,53,16,367,5,193,108.75
118,258,134,124,268,53,109,189,66,0,0,25,66,274,68,196,121.75
32,152,112,61,281,205,108,156,34,0,106,70,5,276,137,49,111.5
73,198,108,97,186,153,148,232,52,64,226,148,2,270,83,195,139.6875
96,145,172,9,150,216,106,261,0,23,49,98,98,181,85,181,116.875
39,335,119,172,185,68,20,58,18,41,0,147,0,385,196,0,111.4375
158,215,245,74,365,77,49,98,49,111,53,188,40,108,123,88,127.5625
36,228,146,173,236,16,243,24,0,98,245,111,49,520,54,245,151.5
0,233,261,200,209,82,140,181,73,57,96,49,107,239,232,121,142.5
133,251,339,386,310,134,225,185,46,0,131,243,0,285,299,295,203.875
29,296,388,222,254,151,242,148,49,30,8,316,49,433,313,181,194.3125
46,248,171,58,196,208,202,79,11,54,202,141,77,277,312,358,165
49,176,159,139,321,130,295,57,94,148,203,231,0,698,159,170,189.3125
52,159,474,55,431,44,119,63,132,10,162,188,49,393,218,147,168.5
152,142,158,60,296,89,232,170,28,5,121,282,0,558,216,456,185.3125
0,550,506,124,692,32,93,341,92,49,162,143,49,536,147,482,249.875
98,287,524,288,301,62,131,84,0,0,86,248,0,482,174,182,184.1875
196,217,246,107,350,196,124,186,0,160,90,196,101,603,298,338,213
1,225,421,57,744,219,133,268,0,153,279,140,84,297,205,471,231.0625
49,242,283,68,367,159,73,596,57,166,108,235,50,606,199,392,228.125
0,371,438,196,219,395,164,648,0,25,179,196,34,575,186,240,241.625
150,227,114,179,284,255,245,808,0,170,250,22,0,681,303,196,242.75
49,341,163,301,436,441,327,615,125,49,309,82,49,513,415,207,276.375
49,121,411,283,665,279,197,527,146,98,334,140,0,865,517,253,305.3125
49,252,151,247,500,62,400,557,23,196,409,131,0,752,345,600,292.125
98,367,376,197,881,346,167,872,49,310,158,83,9,1114,419,361,362.9375
147,312,356,281,523,176,183,827,13,268,139,294,24,1006,517,461,345.4375
9,310,310,98,409,458,319,677,49,227,322,94,112,922,317,435,316.75
196,186,214,453,532,297,173,798,98,321,214,175,234,818,357,575,352.5625
